file,metric_path,value
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.seawater_vv.ks_test.statistic,0.04285714285714286
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.seawater_vv.ks_test.pvalue,0.9999999999999236
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.seawater_vv.jensen_shannon,0.049619812376106534
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.seawater_vv.wasserstein,2.857142857142861
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.urea_pv.ks_test.statistic,0.11428571428571428
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.urea_pv.ks_test.pvalue,0.9630866247369798
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.urea_pv.jensen_shannon,0.1332313073503878
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.urea_pv.wasserstein,0.04107142857142859
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.ammonium_sulfate_pv.ks_test.statistic,0.12142857142857143
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.ammonium_sulfate_pv.ks_test.pvalue,0.9402052615310321
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.ammonium_sulfate_pv.jensen_shannon,0.10595367755535527
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.ammonium_sulfate_pv.wasserstein,0.027142857142857135
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.kh2po4_pv.ks_test.statistic,0.02857142857142857
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.kh2po4_pv.ks_test.pvalue,1.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.kh2po4_pv.jensen_shannon,0.023514428815485974
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.kh2po4_pv.wasserstein,0.01785714285714285
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.surface_tension_mNm.ks_test.statistic,0.1357142857142857
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.surface_tension_mNm.ks_test.pvalue,0.8747719054847382
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.surface_tension_mNm.jensen_shannon,0.12627995813854123
eval_test1_rf_regularized.json,gaussian_copula.fidelity.univariate_tests.surface_tension_mNm.wasserstein,0.7270714285714283
eval_test1_rf_regularized.json,gaussian_copula.fidelity.correlation_preservation.correlation_of_correlations,0.5126712892966487
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.fdr_primary.corrected_pvalues[0],1.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.fdr_primary.corrected_pvalues[1],1.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.fdr_primary.corrected_pvalues[2],1.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.fdr_primary.corrected_pvalues[3],1.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.fdr_primary.corrected_pvalues[4],1.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.fdr_primary.q_value,0.05
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.fdr_primary.n_rejected,0.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.holm_sensitivity.corrected_pvalues[0],1.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.holm_sensitivity.corrected_pvalues[1],1.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.holm_sensitivity.corrected_pvalues[2],1.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.holm_sensitivity.corrected_pvalues[3],1.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.holm_sensitivity.corrected_pvalues[4],1.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.holm_sensitivity.n_rejected,0.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.bonferroni_conservative.n_rejected,0.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.original_pvalues[0],0.9999999999999236
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.original_pvalues[1],0.9630866247369798
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.original_pvalues[2],0.9402052615310321
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.original_pvalues[3],1.0
eval_test1_rf_regularized.json,gaussian_copula.fidelity.multiple_testing.original_pvalues[4],0.8747719054847382
eval_test1_rf_regularized.json,gaussian_copula.fidelity.corr_frobenius_diff,0.9152075515624195
eval_test1_rf_regularized.json,gaussian_copula.fidelity.energy_distance,0.378790942357881
eval_test1_rf_regularized.json,gaussian_copula.fidelity.mmd_rbf,0.0018371293351304718
eval_test1_rf_regularized.json,gaussian_copula.utility.n_runs,10.0
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_mean,-0.07652148704994863
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_ci95[0],-0.6363106486193351
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_ci95[1],0.3024219723178912
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.trtr_mean,-0.663211485178968
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.trtr_ci95[0],-1.120873181541327
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.trtr_ci95[1],-0.2544292587419398
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.delta_same_model_mean,0.5866899981290195
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.delta_same_model_ci95[0],0.12864012377694395
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.delta_same_model_ci95[1],1.0728776760110508
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_scores[0],0.37242581911636374
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_scores[1],0.5348432708208041
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_scores[2],0.2606352192831729
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_scores[3],0.06334961129783234
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_scores[4],0.09384009632928714
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_scores[5],-0.006629443594318163
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_scores[6],-2.2104582627791736
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_scores[7],-0.594490117440907
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_scores[8],0.567303446251421
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.tstr_scores[9],0.15396549021603156
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.trtr_scores[0],-1.3182867637868791
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.trtr_scores[1],-0.4841113696529926
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.trtr_scores[2],0.038077320313710694
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.trtr_scores[3],-1.9546117366973021
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.trtr_scores[4],-0.4871588493093084
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.trtr_scores[5],-0.030639680828214555
eval_test1_rf_regularized.json,gaussian_copula.utility.models.rf.trtr_scores[6],-1.704742609050665
