scenario,generator,model,n_repeats,TSTR_mean,TSTR_ci95_low,TSTR_ci95_high,TRTR_mean,TRTR_ci95_low,TRTR_ci95_high,Delta_mean,Delta_ci95_low,Delta_ci95_high
baseline_0pct,ctgan,gbr,1,0.04095943039833805,,,0.2393000698758445,,,-0.19834063947750646,,
baseline_0pct,ctgan,lr,1,-0.09685969276532025,,,-0.3662506046372962,,,0.26939091187197595,,
baseline_0pct,ctgan,mlp,1,-2.8242530373079924,,,-2.0328486944467112,,,-0.7914043428612811,,
baseline_0pct,ctgan,rf,1,-0.14219062961938556,,,-0.3134702177698483,,,0.17127958815046274,,
baseline_0pct,ctgan,xgb,1,-0.40756384499346265,,,0.26020907906138135,,,-0.667772924054844,,
baseline_0pct,gaussian_copula,gbr,1,-0.7039647712722468,,,0.2393000698758445,,,-0.9432648411480913,,
baseline_0pct,gaussian_copula,lr,1,-0.17336154013413774,,,-0.3662506046372962,,,0.19288906450315846,,
baseline_0pct,gaussian_copula,mlp,1,-1.875315082408299,,,-2.0328486944467112,,,0.15753361203841232,,
baseline_0pct,gaussian_copula,rf,1,-0.17496235711573638,,,-0.3134702177698494,,,0.13850786065411302,,
baseline_0pct,gaussian_copula,xgb,1,-0.84086021635761,,,0.26020907906138135,,,-1.1010692954189913,,
baseline_0pct,tabddpm,gbr,1,-1.3869363947994402,,,0.2393000698758445,,,-1.6262364646752847,,
baseline_0pct,tabddpm,lr,1,-0.195969822521475,,,-0.3662506046372962,,,0.1702807821158212,,
baseline_0pct,tabddpm,mlp,1,-10.394858898136523,,,-2.0328486944467112,,,-8.362010203689811,,
baseline_0pct,tabddpm,rf,1,-0.3477248662200114,,,-0.31347021776984874,,,-0.034254648450162684,,
baseline_0pct,tabddpm,xgb,1,-1.8310691013421456,,,0.26020907906138135,,,-2.0912781804035268,,
baseline_0pct,tvae,gbr,1,-0.9367147416534354,,,0.2393000698758445,,,-1.17601481152928,,
baseline_0pct,tvae,lr,1,-0.13914378918983084,,,-0.3662506046372962,,,0.22710681544746536,,
baseline_0pct,tvae,mlp,1,-1.2747325800894131,,,-2.0328486944467112,,,0.7581161143572981,,
baseline_0pct,tvae,rf,1,-0.5788895290448908,,,-0.31347021776984785,,,-0.2654193112750429,,
baseline_0pct,tvae,xgb,1,-0.6299786252208153,,,0.26020907906138135,,,-0.8901877042821966,,
sensitivity_1pct,ctgan,gbr,1,0.16428716260402165,,,0.2393000698758445,,,-0.07501290727182286,,
sensitivity_1pct,ctgan,lr,1,-0.09761893996096838,,,-0.3662506046372962,,,0.2686316646763278,,
sensitivity_1pct,ctgan,mlp,1,-5.421247085706284,,,-2.0328486944467112,,,-3.3883983912595728,,
sensitivity_1pct,ctgan,rf,1,0.1049496845953588,,,-0.3134702177698483,,,0.4184199023652071,,
sensitivity_1pct,ctgan,xgb,1,-0.35952662483724107,,,0.26020907906138135,,,-0.6197357038986224,,
sensitivity_1pct,gaussian_copula,gbr,1,-0.7157460943083072,,,0.2393000698758445,,,-0.9550461641841517,,
sensitivity_1pct,gaussian_copula,lr,1,-0.17806870908839434,,,-0.3662506046372962,,,0.18818189554890186,,
sensitivity_1pct,gaussian_copula,mlp,1,-1.870321655129541,,,-2.0328486944467112,,,0.16252703931717027,,
sensitivity_1pct,gaussian_copula,rf,1,-0.19061235686285083,,,-0.3134702177698474,,,0.12285786090699657,,
sensitivity_1pct,gaussian_copula,xgb,1,-0.8712597930397512,,,0.26020907906138135,,,-1.1314688721011326,,
sensitivity_1pct,tabddpm,gbr,1,-0.8363709332035247,,,0.2393000698758445,,,-1.0756710030793692,,
sensitivity_1pct,tabddpm,lr,1,0.09165417811200605,,,-0.3662506046372962,,,0.45790478274930224,,
sensitivity_1pct,tabddpm,mlp,1,-8.777106070245635,,,-2.0328486944467112,,,-6.744257375798924,,
sensitivity_1pct,tabddpm,rf,1,-0.5289736973999717,,,-0.31347021776984674,,,-0.21550347963012495,,
sensitivity_1pct,tabddpm,xgb,1,-0.776276759749025,,,0.26020907906138135,,,-1.0364858388104063,,
sensitivity_1pct,tvae,gbr,1,-0.46611106924262624,,,0.2393000698758445,,,-0.7054111391184708,,
sensitivity_1pct,tvae,lr,1,-0.32908583839885486,,,-0.3662506046372962,,,0.03716476623844134,,
sensitivity_1pct,tvae,mlp,1,-11.213794242297498,,,-2.0328486944467112,,,-9.180945547850786,,
sensitivity_1pct,tvae,rf,1,-0.4751748334879733,,,-0.31347021776984896,,,-0.16170461571812433,,
sensitivity_1pct,tvae,xgb,1,-0.6697542851536726,,,0.26020907906138135,,,-0.929963364215054,,
