seawater_vv,urea_pv,ammonium_sulfate_pv,kh2po4_pv,surface_tension_mNm
0.0,0.0,0.2,1.5,48.44
100.0,0.0,0.6,1.5,45.05
0.0,0.25,0.2,1.5,48.44
0.0,0.5,0.2,0.5,45.05
0.0,0.5,0.2,1.5,53.24
100.0,0.0,0.4,0.5,53.3
100.0,0.25,0.2,1.5,44.26
0.0,0.0,0.4,1.5,46.67
100.0,0.5,0.2,0.5,45.05
0.0,0.25,0.4,1.0,49.44
100.0,0.5,0.2,1.0,45.05
0.0,0.5,0.2,1.0,46.47
0.0,0.0,0.2,1.0,49.44
50.0,0.25,0.2,1.0,44.26
100.0,0.25,0.2,1.5,49.21
100.0,0.5,0.2,0.5,48.44
50.0,0.25,0.2,1.0,48.44
100.0,0.25,0.4,1.5,42.35
100.0,0.5,0.4,1.5,49.44
0.0,0.0,0.2,1.5,47.54
100.0,0.25,0.2,1.5,47.54
50.0,0.5,0.6,0.5,50.58
100.0,0.0,0.6,1.5,49.21
100.0,0.5,0.2,0.5,47.54
100.0,0.5,0.6,1.5,46.67
100.0,0.0,0.6,0.5,49.21
100.0,0.25,0.4,1.0,53.24
0.0,0.0,0.2,1.5,46.47
0.0,0.0,0.2,1.5,53.3
50.0,0.25,0.4,0.5,47.61
0.0,0.25,0.6,1.5,47.75
100.0,0.5,0.2,1.0,53.3
100.0,0.5,0.2,1.5,52.27
50.0,0.0,0.2,1.0,53.57
100.0,0.25,0.6,1.5,44.26
100.0,0.5,0.4,0.5,53.3
50.0,0.0,0.2,0.5,44.26
100.0,0.5,0.2,1.0,49.21
50.0,0.5,0.2,0.5,47.75
100.0,0.5,0.6,1.0,43.76
100.0,0.25,0.4,0.5,47.54
100.0,0.0,0.6,1.5,47.58
100.0,0.25,0.6,0.5,48.44
100.0,0.0,0.6,1.5,48.44
50.0,0.25,0.6,1.0,47.58
0.0,0.0,0.4,1.5,45.05
0.0,0.5,0.2,1.0,47.58
100.0,0.5,0.4,1.0,49.21
100.0,0.5,0.2,1.0,49.44
50.0,0.25,0.6,1.0,44.26
100.0,0.0,0.2,1.0,49.44
50.0,0.25,0.6,0.5,53.3
100.0,0.0,0.2,0.5,48.44
100.0,0.25,0.2,0.5,46.67
0.0,0.5,0.2,0.5,44.26
0.0,0.5,0.4,1.0,43.76
50.0,0.5,0.4,1.0,46.67
0.0,0.25,0.6,1.0,53.24
100.0,0.0,0.6,1.5,46.47
0.0,0.5,0.4,1.5,48.44
0.0,0.0,0.2,0.5,47.75
50.0,0.25,0.4,1.5,53.3
0.0,0.5,0.6,1.5,47.61
0.0,0.25,0.4,0.5,50.58
100.0,0.5,0.6,0.5,42.22
0.0,0.25,0.2,0.5,47.54
50.0,0.0,0.6,1.5,42.35
0.0,0.0,0.2,0.5,53.57
50.0,0.0,0.6,1.5,45.05
100.0,0.0,0.6,1.0,49.21
100.0,0.5,0.2,1.5,47.54
100.0,0.5,0.4,0.5,44.26
100.0,0.25,0.2,1.5,46.47
50.0,0.25,0.6,1.5,46.47
50.0,0.0,0.4,1.5,46.67
100.0,0.0,0.4,1.0,45.05
50.0,0.0,0.6,1.0,47.54
100.0,0.5,0.2,1.5,47.75
100.0,0.0,0.2,0.5,42.22
100.0,0.0,0.2,0.5,49.44
0.0,0.25,0.2,0.5,47.75
0.0,0.5,0.4,0.5,42.22
50.0,0.0,0.2,1.5,53.24
0.0,0.0,0.6,1.5,44.26
0.0,0.5,0.6,0.5,49.44
100.0,0.25,0.2,0.5,47.54
50.0,0.0,0.2,0.5,49.21
100.0,0.0,0.4,1.5,53.24
0.0,0.5,0.4,0.5,43.76
0.0,0.25,0.6,0.5,48.44
0.0,0.5,0.2,1.0,46.47
50.0,0.5,0.2,1.5,48.44
50.0,0.25,0.2,0.5,50.58
100.0,0.5,0.2,1.5,44.26
0.0,0.5,0.2,0.5,46.47
100.0,0.0,0.4,0.5,42.22
100.0,0.25,0.4,1.5,53.24
100.0,0.5,0.2,0.5,42.35
0.0,0.0,0.4,1.5,53.24
100.0,0.25,0.6,1.0,47.75
100.0,0.0,0.6,1.5,47.58
100.0,0.0,0.4,1.5,47.54
100.0,0.0,0.6,1.0,49.21
0.0,0.0,0.2,0.5,53.3
100.0,0.0,0.2,1.0,46.47
100.0,0.25,0.4,1.5,42.35
0.0,0.0,0.2,1.5,50.58
0.0,0.5,0.6,0.5,42.22
